Day,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
1,09:09,10:00,11:16,12:45,14:06,15:05,15:13,14:25,13:07,11:43,10:19,09:18
2,09:10,10:02,11:19,12:48,14:08,15:06,15:12,14:23,13:04,11:40,10:16,09:17
3,09:11,10:05,11:22,12:51,14:10,15:07,15:11,14:21,13:02,11:37,10:14,09:16
4,09:12,10:07,11:25,12:53,14:13,15:08,15:10,14:19,12:59,11:34,10:11,09:15
5,09:13,10:09,11:28,12:56,14:15,15:09,15:09,14:16,12:56,11:31,10:09,09:14
6,09:14,10:12,11:30,12:59,14:17,15:10,15:08,14:14,12:53,11:29,10:07,09:13
7,09:15,10:14,11:33,13:02,14:20,15:11,15:07,14:12,12:50,11:26,10:04,09:12
8,09:16,10:17,11:36,13:05,14:22,15:12,15:06,14:09,12:48,11:23,10:02,09:11
9,09:17,10:19,11:39,13:07,14:24,15:13,15:05,14:07,12:45,11:20,09:59,09:10
10,09:18,10:22,11:42,13:10,14:26,15:13,15:04,14:04,12:42,11:17,09:57,09:09
11,09:20,10:24,11:45,13:13,14:29,15:14,15:03,14:02,12:39,11:15,09:55,09:08
12,09:21,10:27,11:48,13:16,14:31,15:14,15:01,14:00,12:36,11:12,09:53,09:08
13,09:23,10:30,11:50,13:18,14:33,15:15,15:00,13:57,12:34,11:09,09:51,09:07
14,09:24,10:32,11:53,13:21,14:35,15:15,14:59,13:55,12:31,11:06,09:48,09:07
15,09:26,10:35,11:56,13:24,14:37,15:16,14:57,13:52,12:28,11:04,09:46,09:06
16,09:27,10:38,11:59,13:27,14:39,15:16,14:56,13:50,12:25,11:01,09:44,09:06
17,09:29,10:40,12:02,13:29,14:41,15:16,14:54,13:47,12:22,10:58,09:42,09:05
18,09:31,10:43,12:05,13:32,14:43,15:16,14:52,13:44,12:20,10:55,09:40,09:05
19,09:33,10:46,12:08,13:35,14:45,15:17,14:51,13:42,12:17,10:53,09:38,09:05
20,09:35,10:48,12:11,13:37,14:47,15:17,14:49,13:39,12:14,10:50,09:36,09:05
21,09:36,10:51,12:13,13:40,14:48,15:17,14:47,13:37,12:11,10:47,09:34,09:05
22,09:38,10:54,12:16,13:43,14:50,15:17,14:45,13:34,12:08,10:45,09:33,09:05
23,09:40,10:57,12:19,13:45,14:52,15:16,14:44,13:31,12:05,10:42,09:31,09:05
24,09:42,10:59,12:22,13:48,14:53,15:16,14:42,13:29,12:03,10:39,09:29,09:05
25,09:44,11:02,12:25,13:50,14:55,15:16,14:40,13:26,12:00,10:37,09:27,09:06
26,09:47,11:05,12:28,13:53,14:57,15:16,14:38,13:23,11:57,10:34,09:26,09:06
27,09:49,11:08,12:31,13:56,14:58,15:15,14:36,13:21,11:54,10:32,09:24,09:06
28,09:51,11:11,12:34,13:58,15:00,15:15,14:34,13:18,11:51,10:29,09:23,09:07
29,09:53,11:13,12:36,14:01,15:01,15:14,14:32,13:15,11:48,10:26,09:21,09:07
30,09:55,,,12:39,14:03,15:02,15:13,14:30,13:13,11:46,10:24,09:20,09:08
31,09:58,,,12:42,,15:04,,14:27,13:10,,10:21,,09:09
