dates,RA,DEC
"JAN  1, 2021",18:50:12,-22:56:08
"JAN  2, 2021",18:54:37,-22:50:37
"JAN  3, 2021",18:59:01,-22:44:39
"JAN  4, 2021",19:03:24,-22:38:14
"JAN  5, 2021",19:07:47,-22:31:22
"JAN  6, 2021",19:12:11,-22:24:02
"JAN  7, 2021",19:16:32,-22:16:19
"JAN  8, 2021",19:20:54,-22:08:06
"JAN  9, 2021",19:25:16,-21:59:28
"JAN 10, 2021",19:29:36,-21:50:26
"JAN 11, 2021",19:33:57,-21:40:57
"JAN 12, 2021",19:38:17,-21:31:02
"JAN 13, 2021",19:42:35,-21:20:45
"JAN 14, 2021",19:46:54,-21:10:00
"JAN 15, 2021",19:51:12,-20:58:51
"JAN 16, 2021",19:55:28,-20:47:21
"JAN 17, 2021",19:59:45,-20:35:24
"JAN 18, 2021",20:04:00,-20:23:04
"JAN 19, 2021",20:08:14,-20:10:24
"JAN 20, 2021",20:12:29,-19:57:18
"JAN 21, 2021",20:16:42,-19:43:49
"JAN 22, 2021",20:20:54,-19:30:02
"JAN 23, 2021",20:25:06,-19:15:50
"JAN 24, 2021",20:29:17,-19:01:17
"JAN 25, 2021",20:33:27,-18:46:26
"JAN 26, 2021",20:37:36,-18:31:11
"JAN 27, 2021",20:41:45,-18:15:36
"JAN 28, 2021",20:45:52,-17:59:45
"JAN 29, 2021",20:49:59,-17:43:31
"JAN 30, 2021",20:54:06,-17:26:57
"JAN 31, 2021",20:58:10,-17:10:10
"FEB  1, 2021",21:02:15,-16:53:00
"FEB  2, 2021",21:06:19,-16:35:32
"FEB  3, 2021",21:10:21,-16:17:51
"FEB  4, 2021",21:14:23,-15:59:49
"FEB  5, 2021",21:18:25,-15:41:30
"FEB  6, 2021",21:22:25,-15:23:00
"FEB  7, 2021",21:26:25,-15:04:09
"FEB  8, 2021",21:30:24,-14:45:03
"FEB  9, 2021",21:34:21,-14:25:47
"FEB 10, 2021",21:38:19,-14:06:12
"FEB 11, 2021",21:42:16,-13:46:22
"FEB 12, 2021",21:46:11,-13:26:25
"FEB 13, 2021",21:50:06,-13:06:08
"FEB 14, 2021",21:54:01,-12:45:39
"FEB 15, 2021",21:57:54,-12:25:03
"FEB 16, 2021",22:01:47,-12:04:10
"FEB 17, 2021",22:05:40,-11:43:05
"FEB 18, 2021",22:09:30,-11:21:54
"FEB 19, 2021",22:13:21,-11:00:28
"FEB 20, 2021",22:17:12,-10:38:50
"FEB 21, 2021",22:21:01,-10:17:09
"FEB 22, 2021",22:24:50,-09:55:13
"FEB 23, 2021",22:28:38,-09:33:07
"FEB 24, 2021",22:32:25,-09:10:58
"FEB 25, 2021",22:36:12,-08:48:36
"FEB 26, 2021",22:39:59,-08:26:05
"FEB 27, 2021",22:43:44,-08:03:33
"FEB 28, 2021",22:47:30,-07:40:48
